Id,Label,Node_value,Node_cluster,Node_cluster_len,Node_lineage,Node_lineage_raw,Node_lineage2
3163987,3163987-XBB.1.5,100,661,1433,XBB.1.5,XBB.1.5,XBB
3164336,3164336-FY.2.1,100,348,1927,FY.2.1,FY.2.1,XBB
3167169,3167169-FY.3.1,100,477,1687,FY.3.1,FY.3.1,XBB
3168921,3168921-BA.2,100,286,5105,BA.2,BA.2,BA.2
3170815,3170815-XBB.1.18.1,100,537,1592,XBB.1.18.1,XBB.1.18.1,XBB
3170918,3170918-JD.2,100,6,38574,JD.2,JD.2,XBB
3172765,3172765-HH.1,1000,522,1616,HH.1,HH.1,XBB
3174948,3174948-XBB.1.5.102,100,6,38574,XBB.1.5.102,XBB.1.5.102,XBB
3181188,3181188-JD.1.2,100,6,38574,JD.1.2,JD.1.2,XBB
3181353,3181353-DV.7,100,640,1456,DV.7,DV.7,DV.7
3185618,3185618-FY.3.1,1000,477,1687,FY.3.1,FY.3.1,XBB
3185867,3185867-EG.5.1,1000,67,7522,EG.5.1,EG.5.1,XBB
3185898,3185898-XBB.1.5.70,100,661,1433,XBB.1.5.70,XBB.1.5.70,XBB
3185899,3185899-GK.1,100,661,1433,GK.1,GK.1,XBB
3186914,3186914-GK.1,1000,505,1645,GK.1,GK.1,XBB
3188123,3188123-FY.2.1,100,348,1927,FY.2.1,FY.2.1,XBB
3189398,3189398-XBB.1.5.70,100,661,1433,XBB.1.5.70,XBB.1.5.70,XBB
3195066,3195066-XBB.1.16,100,712,1363,XBB.1.16,XBB.1.16,XBB
3197433,3197433-FY.2,1000,348,1927,FY.2,FY.2,XBB
3198706,3198706-GK.1,100,661,1433,GK.1,GK.1,XBB
3198752,3198752-EG.5.1.1,100,67,7522,EG.5.1.1,EG.5.1.1,XBB
3199705,3199705-GJ.1,100,174,6808,GJ.1,GJ.1,GJ.1
3202152,3202152-XBB.1.16,100,129,4992,XBB.1.16,XBB.1.16,XBB
3202276,3202276-XBB.1.16,100,129,4992,XBB.1.16,XBB.1.16,XBB
3204622,3204622-EG.5.1.3,1000,192,3340,EG.5.1.3,EG.5.1.3,XBB
3206450,3206450-EG.5.1.1,1000,34,12318,EG.5.1.1,EG.5.1.1,XBB
3207334,3207334-GJ.1.2,1000,690,2168,GJ.1.2,GJ.1.2,GJ.1.2
